# MARD 221 参考色值（社区来源，非官方屏幕参考色）
# 本表不是 MARD 品牌方发布的官方色值，不得作为需求书中的"官方精确色值"或验收依据。
# 直接来源: https://github.com/HansBug/pindou-color-data/tree/main/mard-221-github (colors.json, 2026-05-19)
# 上游来源: https://git.xiongxiao.me/abearxiong/get-colors-from-beans (第三方公开仓库)
# 取得日期: 2026-09-15；色号集合与用户提供 MARD221 色卡示意图一致（9 系 221 色）。
code,group,hex,r,g,b
G6,G,#F3A014,243,160,20
G7,G,#98503A,152,80,58
G8,G,#4B2B1C,75,43,28
G9,G,#E4B685,228,182,133
G10,G,#DA8C42,218,140,66
G11,G,#DAC898,218,200,152
G12,G,#FEC993,254,201,147
G13,G,#B2714B,178,113,75
G14,G,#8B684C,139,104,76
G15,G,#FCF9E0,252,249,224
G16,G,#F2D8C1,242,216,193
G17,G,#79544E,121,84,78
G18,G,#FFE4D6,255,228,214
G19,G,#DD7D41,221,125,65
G20,G,#A5452F,165,69,47
G21,G,#B38561,179,133,97
H1,H,#FBFBFB,251,251,251
H2,H,#FFFFFF,255,255,255
H3,H,#B4B4B4,180,180,180
H4,H,#878787,135,135,135
H5,H,#464648,70,70,72
H6,H,#2C2C2C,44,44,44
H7,H,#010101,1,1,1
H8,H,#E7D6DC,231,214,220
H9,H,#EFEDEE,239,237,238
H10,H,#ECEAEB,236,234,235
H11,H,#CDCDCD,205,205,205
H12,H,#FDF6EE,253,246,238
H13,H,#F4EFD1,244,239,209
H14,H,#CED7D4,206,215,212
H15,H,#98A6A6,152,166,166
H16,H,#1B1213,27,18,19
H17,H,#F0EEEF,240,238,239
H18,H,#FCFFF8,252,255,248
H19,H,#F2EEE5,242,238,229
H20,H,#96A09F,150,160,159
H21,H,#FFFBE1,255,251,225
H22,H,#CACADA,202,202,218
H23,H,#9B9C94,155,156,148
M1,M,#BBC6B6,187,198,182
M2,M,#909994,144,153,148
M3,M,#697E80,105,126,128
M4,M,#E0D4BC,224,212,188
M5,M,#D0CBAE,208,203,174
M6,M,#B0AA86,176,170,134
M7,M,#B0A796,176,167,150
M8,M,#AE8082,174,128,130
M9,M,#A88764,168,135,100
M10,M,#C6B2BB,198,178,187
M11,M,#9D7693,157,118,147
M12,M,#644B51,100,75,81
M13,M,#C79266,199,146,102
M14,M,#C37463,195,116,99
M15,M,#747D7A,116,125,122
