group,id,kind,sourcePage,layout,outsideCatalog,referenceComplete,algorithm,status,source,exact,legacyTolerancePass,total,seconds,peakRssMiB,automaticCounts,differences,riskSummary,manualCorrection,humanReviewTime
spot100,P080,pattern,https://www.sxgrocery.com/pattern/1063,,"R1,R25",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,821,0.55,144.52,"{""A14"": 9, ""E1"": 31, ""E14"": 86, ""F1"": 128, ""F17"": 107, ""F19"": 9, ""F2"": 83, ""F23"": 38, ""F25"": 66, ""F4"": 66, ""F6"": 167, ""H7"": 6, ""M14"": 25}","{""R1"": [66, null], ""R25"": [2, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P081,pattern,https://www.sxgrocery.com/pattern/662,,"P22,R13",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,1262,0.572,150.19,"{""A20"": 211, ""F20"": 3, ""G1"": 64, ""G10"": 14, ""G17"": 672, ""G3"": 69, ""G4"": 168, ""H19"": 7, ""M15"": 30, ""M4"": 24}","{""P22"": [27, null], ""R13"": [81, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P082,pattern,https://www.sxgrocery.com/pattern/666,,"P22,R5",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,1076,0.683,146.42,"{""A11"": 2, ""A21"": 2, ""A25"": 3, ""B11"": 10, ""B26"": 15, ""E1"": 76, ""E19"": 236, ""E2"": 57, ""E4"": 74, ""F17"": 38, ""F21"": 12, ""F25"": 10, ""G21"": 10, ""H22"": 56, ""H7"": 471, ""M15"": 4}","{""P22"": [30, null], ""R5"": [10, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P083,pattern,https://www.sxgrocery.com/pattern/912,,"R22,R23",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,1391,0.592,162.0,"{""B26"": 10, ""F10"": 25, ""F11"": 12, ""F6"": 258, ""G10"": 80, ""G12"": 67, ""G13"": 83, ""G7"": 72, ""G9"": 31, ""H18"": 601, ""H21"": 36, ""H8"": 116}","{""R22"": [364, null], ""R23"": [92, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P084,pattern,https://www.bitbead.app/en/library/d06e73c1-6355-4dc0-a984-2b9b14e3b7db,,,True,pixel-glyph-0.12.0-dev,partial,grid,True,True,1774,0.792,123.34,"{""H11"": 45, ""H14"": 817, ""H17"": 53, ""H19"": 108, ""H23"": 128, ""H3"": 21, ""H4"": 58, ""H5"": 205, ""H9"": 92, ""M1"": 29, ""M15"": 97, ""M7"": 121}",{},逐格候选已读取；外围是否截断尚未证明，未读清格不计为零；第 1 行有 62 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 2 行有 62 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 3 行有 62 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 4 行有 59 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 5 行有 55 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 6 行有 53 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 7 行有 47 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 8 行有 41 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 9 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 10 行有 35 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 11 行有 31 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 12 行有 27 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 13 行有 25 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 14 行有 24 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 15 行有 23 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 16 行有 22 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 17 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 18 行有 22 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 19 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 20 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 21 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 22 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 23 行有 19 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 24 行有 20 格未读清,not-performed,not-measured
spot100,P085,pattern,https://www.bitbead.app/en/library/52429fa5-ca98-4437-a6b7-aee9a8ec1d89,,,True,pixel-glyph-0.12.0-dev,partial,grid,True,True,1808,0.334,110.16,"{""D3"": 1383, ""H2"": 425}",{},逐格候选已读取；外围是否截断尚未证明，未读清格不计为零；第 1 行有 58 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 2 行有 58 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 3 行有 58 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 4 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 5 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 6 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 7 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 8 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 9 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 10 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 11 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 12 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 13 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 14 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 15 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 16 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 17 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 18 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 19 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 20 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 21 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 22 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 23 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 24 行有 6 格未读清或色号不在 MARD 221 内，未计入，,not-performed,not-measured
spot100,P086,pattern,https://www.sxgrocery.com/pattern/1311,,"P16,P18,R1,R22",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,1089,0.79,149.43,"{""A1"": 60, ""A10"": 71, ""A13"": 2, ""A14"": 16, ""A20"": 15, ""A21"": 11, ""A22"": 76, ""A25"": 1, ""A26"": 53, ""A6"": 28, ""B15"": 42, ""B32"": 2, ""D19"": 57, ""F10"": 20, ""F11"": 34, ""F13"": 27, ""F20"": 1, ""F23"": 7, ""F3"": 6, ""F4"": 25, ""F6"": 98, ""F8"": 6, ""G12"": 6, ""G15"": 224, ""G20"": 1, ""G6"": 11, ""G9"": 26, ""H20"": 3, ""H3"": 2, ""H4"": 8, ""H7"": 149, ""M10"": 1}","{""P16"": [12, null], ""P18"": [17, null], ""R1"": [15, null], ""R22"": [14, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P087,pattern,https://www.bitbead.app/en/library/ef806242-e043-4b6d-8280-921d4261ede7,,,True,pixel-glyph-0.12.0-dev,partial,grid,True,True,1059,0.374,102.16,"{""C29"": 24, ""G8"": 186, ""H2"": 475, ""M4"": 374}",{},逐格候选已读取；外围是否截断尚未证明，未读清格不计为零；第 1 行有 43 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 2 行有 43 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 3 行有 41 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 4 行有 39 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 5 行有 35 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 6 行有 31 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 7 行有 21 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 8 行有 17 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 9 行有 17 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 10 行有 16 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 11 行有 15 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 12 行有 14 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 13 行有 12 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 14 行有 11 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 15 行有 9 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 16 行有 7 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 17 行有 8 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 18 行有 7 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 19 行有 6 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 20 行有 7 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 21 行有 9 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 22 行有 10 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 23 行有 10 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 24 行有 12 格未读清或色号不在 M,not-performed,not-measured
spot100,P088,pattern,https://www.sxgrocery.com/pattern/1503,,"P6,R14",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,1224,0.539,140.0,"{""B10"": 17, ""C1"": 1, ""C22"": 61, ""E14"": 18, ""E16"": 112, ""E4"": 52, ""F1"": 10, ""F14"": 13, ""F21"": 416, ""F24"": 63, ""F9"": 100, ""H6"": 361}","{""P6"": [32, null], ""R14"": [51, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P089,pattern,https://www.bitbead.app/en/library/79e9a2e6-a8f7-42b2-9759-71fd8da10854,,,True,pixel-glyph-0.12.0-dev,partial,grid,True,True,2714,0.872,139.14,"{""F6"": 59, ""H2"": 908, ""H4"": 67, ""H7"": 1680}",{},逐格候选已读取；外围是否截断尚未证明，未读清格不计为零；第 1 行有 63 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 2 行有 63 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 3 行有 63 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 4 行有 62 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 5 行有 57 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 6 行有 52 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 7 行有 43 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 8 行有 41 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 9 行有 42 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 10 行有 41 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 11 行有 42 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 12 行有 42 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 13 行有 41 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 14 行有 39 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 15 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 16 行有 34 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 17 行有 32 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 18 行有 31 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 19 行有 27 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 20 行有 23 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 21 行有 20 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 22 行有 15 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 23 行有 13 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 24 行有 8 格未读清或,not-performed,not-measured
spot100,P090,pattern,https://www.sxgrocery.com/pattern/570,,R22,True,pixel-glyph-0.12.0-dev,partial,legend,False,False,527,0.471,136.22,"{""D12"": 4, ""E4"": 1, ""F11"": 16, ""F6"": 181, ""G1"": 11, ""G17"": 1, ""G18"": 232, ""H11"": 1, ""H16"": 1, ""H7"": 79}","{""R22"": [151, null]}",图例字段未可靠读清，未计入，未记为零；同一文字有不同读法，请核对原图；图例与本体计数待核对,not-performed,not-measured
spot100,P091,pattern,https://www.sxgrocery.com/pattern/1807,,"P3,R22,ZG2",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,867,0.5,136.96,"{""B13"": 34, ""B14"": 39, ""B26"": 14, ""B31"": 166, ""B32"": 285, ""C1"": 85, ""E11"": 151, ""H13"": 93}","{""P3"": [53, null], ""R22"": [6, null], ""ZG2"": [1, null]}",图例字段未可靠读清，未计入，未记为零；同一文字有不同读法，请核对原图；图例与本体计数待核对,not-performed,not-measured
spot100,P092,pattern,https://www.sxgrocery.com/pattern/1287,,"P16,P5,R23",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,501,0.523,135.46,"{""A13"": 21, ""A17"": 3, ""A20"": 195, ""A25"": 6, ""A6"": 10, ""F10"": 72, ""F11"": 16, ""G10"": 142, ""G11"": 10, ""G13"": 14, ""G7"": 4, ""H19"": 2, ""H7"": 6}","{""P16"": [226, null], ""P5"": [6, null], ""R23"": [106, null]}",同一文字有不同读法，请核对原图；图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P093,pattern,https://www.sxgrocery.com/pattern/2035,,"P22,R22,R23",True,pixel-glyph-0.12.0-dev,partial,legend,False,False,2298,1.512,158.69,"{""A23"": 235, ""B22"": 52, ""C18"": 38, ""E14"": 16, ""E21"": 8, ""F11"": 10, ""F18"": 16, ""F25"": 628, ""F6"": 328, ""G1"": 2, ""G17"": 8, ""G21"": 29, ""G3"": 223, ""G4"": 6, ""H6"": 194, ""H7"": 325, ""M3"": 96, ""M7"": 84}","{""P22"": [46, null], ""R22"": [35, null], ""R23"": [2, null]}",图例字段未可靠读清，未计入，未记为零；图例与本体计数待核对,not-performed,not-measured
spot100,P094,pattern,https://www.bitbead.app/en/library/af947e3c-bcd4-4967-b218-d85a67499bfd,,R1,True,pixel-glyph-0.12.0-dev,partial,grid,False,False,45,0.284,101.91,"{""D10"": 24, ""D4"": 21}","{""R1"": [1284, null]}",逐格候选已读取；外围是否截断尚未证明，未读清格不计为零；第 1 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 2 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 3 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 4 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 5 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 6 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 7 行有 31 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 8 行有 32 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 9 行有 29 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 10 行有 32 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 11 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 12 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 13 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 14 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 15 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 16 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 17 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 18 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 19 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 20 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 21 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 22 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 23 行有 37 格未读清或色号不在 MARD 221 内，未计入，请放大核对；第 24 行有 37 格未读清,not-performed,not-measured
